ID,領域,期,支援番号,正式名称,基本方針,大項目,中項目,小項目,本文頁,PDF頁,原典
basic-共通-20,基本ケア,共通,20,フレイル予防のために必要な食事と栄養の確保の支援,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-1 予測に基づく心身機能の維持・向上、フレイルや重度化の予防の支援,Ⅱ-1-1 水分と栄養を摂ることの支援,,50,62,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=62
basic-共通-21,基本ケア,共通,21,水分の摂取の支援,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-1 予測に基づく心身機能の維持・向上、フレイルや重度化の予防の支援,Ⅱ-1-1 水分と栄養を摂ることの支援,,53,65,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=65
basic-共通-22,基本ケア,共通,22,口腔ケア及び摂食嚥下機能の支援,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-1 予測に基づく心身機能の維持・向上、フレイルや重度化の予防の支援,Ⅱ-1-1 水分と栄養を摂ることの支援,,55,67,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=67
basic-共通-23,基本ケア,共通,23,継続的な受診・療養の支援,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-1 予測に基づく心身機能の維持・向上、フレイルや重度化の予防の支援,Ⅱ-1-2 継続的な受診と服薬の支援,,59,71,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=71
basic-共通-24,基本ケア,共通,24,継続的な服薬管理の支援,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-1 予測に基づく心身機能の維持・向上、フレイルや重度化の予防の支援,Ⅱ-1-2 継続的な受診と服薬の支援,,62,74,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=74
basic-共通-25,基本ケア,共通,25,体調把握と変化を伝えることの支援,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-1 予測に基づく心身機能の維持・向上、フレイルや重度化の予防の支援,Ⅱ-1-3 継続的な自己管理の支援,,64,76,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=76
basic-共通-26,基本ケア,共通,26,フレイルを予防するための活動機会の維持,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-1 予測に基づく心身機能の維持・向上、フレイルや重度化の予防の支援,Ⅱ-1-4 心身機能の維持・向上の支援,,67,79,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=79
basic-共通-27,基本ケア,共通,27,継続的なリハビリテーションや機能訓練の実施,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-1 予測に基づく心身機能の維持・向上、フレイルや重度化の予防の支援,Ⅱ-1-4 心身機能の維持・向上の支援,,70,82,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=82
basic-共通-28,基本ケア,共通,28,感染症の予防と対応の支援体制の構築,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-1 予測に基づく心身機能の維持・向上、フレイルや重度化の予防の支援,Ⅱ-1-5 感染予防の支援,,72,84,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=84
basic-共通-29,基本ケア,共通,29,一週間の生活リズムにそった生活・活動を支えることの支援,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-2 日常的な生活の継続の支援,Ⅱ-2-1 生活リズムを整える支援,,75,87,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=87
basic-共通-30,基本ケア,共通,30,休養・睡眠の支援,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-2 日常的な生活の継続の支援,Ⅱ-2-1 生活リズムを整える支援,,77,89,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=89
basic-共通-31,基本ケア,共通,31,口から食事を摂り続けることの支援,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-2 日常的な生活の継続の支援,Ⅱ-2-2 食事の支援,,79,91,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=91
basic-共通-32,基本ケア,共通,32,フレイル予防のために必要な栄養の確保の支援,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-2 日常的な生活の継続の支援,Ⅱ-2-2 食事の支援,,81,93,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=93
basic-共通-33,基本ケア,共通,33,清潔を保つ支援,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-2 日常的な生活の継続の支援,Ⅱ-2-3 暮らしやすい環境の保持、入浴や排泄の支援,,83,95,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=95
basic-共通-34,基本ケア,共通,34,排泄状況を確認して排泄を続けられることを支援,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-2 日常的な生活の継続の支援,Ⅱ-2-3 暮らしやすい環境の保持、入浴や排泄の支援,,86,98,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=98
basic-共通-35,基本ケア,共通,35,喜びや楽しみ、強みを引き出し高める支援,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-3 家事・コミュニティでの役割の維持あるいは獲得の支援,Ⅱ-3-1 喜びや楽しみ、強みを引き出し高める支援,,89,101,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=101
basic-共通-36,基本ケア,共通,36,コミュニケーションの支援,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-3 家事・コミュニティでの役割の維持あるいは獲得の支援,Ⅱ-3-2 コミュニケーションの支援,,91,103,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=103
basic-共通-37,基本ケア,共通,37,本人にとっての活動と参加を取り巻く交流環境の整備,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-3 家事・コミュニティでの役割の維持あるいは獲得の支援,Ⅱ-3-3 家庭内での役割を整えることの支援,,93,105,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=105
basic-共通-38,基本ケア,共通,38,持っている機能を発揮しやすい環境の整備,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-3 家事・コミュニティでの役割の維持あるいは獲得の支援,Ⅱ-3-4 コミュニティでの役割を整えることの支援,,95,107,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=107
basic-共通-39,基本ケア,共通,39,本人にとっての活動と参加を取り巻く交流環境の整備,Ⅱ これまでの生活の尊重と継続の支援,Ⅱ-3 家事・コミュニティでの役割の維持あるいは獲得の支援,Ⅱ-3-4 コミュニティでの役割を整えることの支援,,97,109,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=109
basic-共通-40,基本ケア,共通,40,家族等の生活を支える支援及び連携の体制の整備,Ⅲ 家族等への支援,Ⅲ-1 家族等への支援,Ⅲ-1-1 支援を必要とする家族等への対応,,99,111,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=111
basic-共通-41,基本ケア,共通,41,将来にわたり生活を継続できるようにすることの支援,Ⅲ 家族等への支援,Ⅲ-1 家族等への支援,Ⅲ-1-1 支援を必要とする家族等への対応,,102,114,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=114
basic-共通-42,基本ケア,共通,42,本人や家族等にかかわる理解者を増やすことの支援,Ⅲ 家族等への支援,Ⅲ-1 家族等への支援,Ⅲ-1-2 家族等の理解者を増やす支援,,104,116,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=116
basic-共通-43,基本ケア,共通,43,本人を取り巻く支援体制の整備,Ⅲ 家族等への支援,Ⅲ-2 ケアに参画するひとへの支援,Ⅲ-2-1 本人をとりまく支援体制の整備,,106,118,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=118
basic-共通-44,基本ケア,共通,44,同意してケアに参画するひとへの支援,Ⅲ 家族等への支援,Ⅲ-2 ケアに参画するひとへの支援,Ⅲ-2-2 同意してケアに参画するひとへの支援,,108,120,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=120
stroke-Ⅰ期-1,脳血管疾患,Ⅰ期,1,基本的な疾患管理の支援,,1 再発予防,1-1 血圧や疾病の管理の支援,1-1-1 基本的な疾患管理の支援,112,124,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=124
stroke-Ⅰ期-2,脳血管疾患,Ⅰ期,2,目標血圧が確認できる体制を整える,,1 再発予防,1-1 血圧や疾病の管理の支援,1-1-2 血圧等の体調の確認,115,127,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=127
stroke-Ⅰ期-3,脳血管疾患,Ⅰ期,3,家庭（日常）血圧・脈拍等の把握ができる体制を整える,,1 再発予防,1-1 血圧や疾病の管理の支援,1-1-2 血圧等の体調の確認,116,128,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=128
stroke-Ⅰ期-4,脳血管疾患,Ⅰ期,4,室内気温の調整や気温差の改善ができる体制を整える,,1 再発予防,1-1 血圧や疾病の管理の支援,1-1-3 環境整備,117,129,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=129
stroke-Ⅰ期-5,脳血管疾患,Ⅰ期,5,高脂血症、糖尿病等の個別疾患の管理の支援について別途確認する,,1 再発予防,1-1 血圧や疾病の管理の支援,1-1-4 その他の基礎疾患の把握と適切な食事の提供,119,131,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=131
stroke-Ⅰ期-6,脳血管疾患,Ⅰ期,6,服薬管理の支援,,1 再発予防,1-2 服薬管理の支援,1-2-1 服薬支援,120,132,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=132
stroke-Ⅰ期-7,脳血管疾患,Ⅰ期,7,必要水分量と日常の摂取量が把握できる体制を整える,,1 再発予防,1-3 生活習慣の改善,1-3-1 脱水予防,122,134,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=134
stroke-Ⅰ期-8,脳血管疾患,Ⅰ期,8,適切な水分を摂取することの理解をうながす体制を整える,,1 再発予防,1-3 生活習慣の改善,1-3-1 脱水予防,123,135,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=135
stroke-Ⅰ期-9,脳血管疾患,Ⅰ期,9,自ら水分を摂取できるようにする体制を整える,,1 再発予防,1-3 生活習慣の改善,1-3-1 脱水予防,124,136,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=136
stroke-Ⅰ期-10,脳血管疾患,Ⅰ期,10,ADL/IADLの定期的な把握と機能の向上ができる体制を整える,,2 生活機能の維持・向上,2-1 心身機能の回復・維持,2-1-1 機能訓練（機能障害の回復・改善に向けて）,125,137,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=137
stroke-Ⅰ期-11,脳血管疾患,Ⅰ期,11,受容促進のための働きかけを行う体制を整える,,2 生活機能の維持・向上,2-2 心理的回復の支援,2-2-1 受容の支援,126,138,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=138
stroke-Ⅰ期-12,脳血管疾患,Ⅰ期,12,抑うつ状態の防止、改善が図れる体制を整える,,2 生活機能の維持・向上,2-2 心理的回復の支援,2-2-1 受容の支援,127,139,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=139
stroke-Ⅰ期-13,脳血管疾患,Ⅰ期,13,リハビリテーションの継続がなされるよう本人の不安を軽減する体制を整える,,2 生活機能の維持・向上,2-2 心理的回復の支援,2-2-1 受容の支援,128,140,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=140
stroke-Ⅰ期-14,脳血管疾患,Ⅰ期,14,ADL/IADLの状態の定期的な把握と共有がなされる体制を整える,,2 生活機能の維持・向上,2-3 活動と参加に関わる能力の維持・改善,2-3-1 機能訓練（残存機能の維持・活用に向けて）,129,141,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=141
stroke-Ⅰ期-15,脳血管疾患,Ⅰ期,15,状態に合ったADL/IADLの機能向上がなされる体制を整える,,2 生活機能の維持・向上,2-3 活動と参加に関わる能力の維持・改善,2-3-1 機能訓練（残存機能の維持・活用に向けて）,130,142,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=142
stroke-Ⅰ期-16,脳血管疾患,Ⅰ期,16,コミュニケーション能力の状況の継続的な把握ができる体制を整える,,2 生活機能の維持・向上,2-3 活動と参加に関わる能力の維持・改善,2-3-2 コミュニケーション能力の改善,131,143,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=143
stroke-Ⅰ期-17,脳血管疾患,Ⅰ期,17,コミュニケーション能力の改善を図る体制を整える（言語訓練、コミュニケーション手段の検討等）,,2 生活機能の維持・向上,2-3 活動と参加に関わる能力の維持・改善,2-3-2 コミュニケーション能力の改善,132,144,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=144
stroke-Ⅰ期-18,脳血管疾患,Ⅰ期,18,日常生活（自宅内・自宅外）における役割の回復・獲得がなされる体制を整える,,2 生活機能の維持・向上,2-3 活動と参加に関わる能力の維持・改善,2-3-3 社会参加の機会の確保,133,145,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=145
stroke-Ⅰ期-19,脳血管疾患,Ⅰ期,19,外出や交流の機会が確保できる体制を整える,,2 生活機能の維持・向上,2-3 活動と参加に関わる能力の維持・改善,2-3-3 社会参加の機会の確保,134,146,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=146
stroke-Ⅰ期-20,脳血管疾患,Ⅰ期,20,新たな価値・機能の獲得がなされる体制を整える,,2 生活機能の維持・向上,2-3 活動と参加に関わる能力の維持・改善,2-3-3 社会参加の機会の確保,135,147,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=147
stroke-Ⅰ期-21,脳血管疾患,Ⅰ期,21,必要な栄養量の把握と食事の支援がなされる体制を整える,,2 生活機能の維持・向上,2-4 リスク管理,2-4-1 食事と栄養の確保,136,148,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=148
stroke-Ⅰ期-22,脳血管疾患,Ⅰ期,22,転倒しにくいよう体の機能あるいは環境整備するための体制を整える,,2 生活機能の維持・向上,2-4 リスク管理,2-4-2 転倒予防,137,149,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=149
stroke-Ⅱ期-1,脳血管疾患,Ⅱ期,1,基本的な疾患管理の支援,,1 継続的な再発予防,1-1 血圧や疾病の管理の支援,1-1-1 基本的な疾患管理の支援,139,151,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=151
stroke-Ⅱ期-2,脳血管疾患,Ⅱ期,2,目標血圧が確認できる体制を整える,,1 継続的な再発予防,1-1 血圧や疾病の管理の支援,1-1-2 血圧等の体調の確認,142,154,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=154
stroke-Ⅱ期-3,脳血管疾患,Ⅱ期,3,家庭（日常）血圧・脈拍等の把握ができる体制を整える,,1 継続的な再発予防,1-1 血圧や疾病の管理の支援,1-1-2 血圧等の体調の確認,143,155,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=155
stroke-Ⅱ期-4,脳血管疾患,Ⅱ期,4,室内気温の調整や気温差の改善ができる体制を整える,,1 継続的な再発予防,1-1 血圧や疾病の管理の支援,1-1-3 環境整備,144,156,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=156
stroke-Ⅱ期-5,脳血管疾患,Ⅱ期,5,高脂血症、糖尿病等の個別疾患の管理の支援について別途確認する,,1 継続的な再発予防,1-1 血圧や疾病の管理の支援,1-1-4 その他の基礎疾患の把握と適切な食事の提供,146,158,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=158
stroke-Ⅱ期-6,脳血管疾患,Ⅱ期,6,服薬管理の支援,,1 継続的な再発予防,1-2 服薬管理の支援,1-2-1 服薬支援,147,159,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=159
stroke-Ⅱ期-7,脳血管疾患,Ⅱ期,7,自ら水分を摂取できることが維持できる体制を整える,,1 継続的な再発予防,1-3 生活習慣の維持,1-3-1 脱水予防,149,161,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=161
stroke-Ⅱ期-8,脳血管疾患,Ⅱ期,8,ADL/IADLの定期的な把握と機能の向上ができる体制を整える,,2 セルフマネジメントへの移行,2-1 心身機能の見直しとさらなる回復・維持,2-1-1 機能訓練（機能障害の回復・改善に向けて）,150,162,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=162
stroke-Ⅱ期-9,脳血管疾患,Ⅱ期,9,受容促進のための働きかけの確認と継続的な支援体制を整える,,2 セルフマネジメントへの移行,2-2 心理的回復の支援,2-2-1 受容の支援,151,163,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=163
stroke-Ⅱ期-10,脳血管疾患,Ⅱ期,10,抑うつ状態の防止、改善の確認と継続的な支援体制を整える,,2 セルフマネジメントへの移行,2-2 心理的回復の支援,2-2-1 受容の支援,152,164,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=164
stroke-Ⅱ期-11,脳血管疾患,Ⅱ期,11,リハビリテーションの継続がなされるよう本人の不安を軽減する体制を整える,,2 セルフマネジメントへの移行,2-2 心理的回復の支援,2-2-1 受容の支援,153,165,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=165
stroke-Ⅱ期-12,脳血管疾患,Ⅱ期,12,新たな価値・機能の獲得の支援（落胆体験の繰り返し、残存機能と回復機能の限界を見つめることの支援）体制を整える,,2 セルフマネジメントへの移行,2-2 心理的回復の支援,2-2-2 行動変容の状況の確認と継続的な支援,154,166,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=166
stroke-Ⅱ期-13,脳血管疾患,Ⅱ期,13,セルフマネジメントに向けたリハビリテーションの継続がなされるよう本人の不安を軽減する体制を整える,,2 セルフマネジメントへの移行,2-2 心理的回復の支援,2-2-2 行動変容の状況の確認と継続的な支援,155,167,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=167
stroke-Ⅱ期-14,脳血管疾患,Ⅱ期,14,ADL/IADLの状態の定期的な把握及び共有の確認と継続的な支援体制を整える,,2 セルフマネジメントへの移行,2-3 活動と参加に関わる能力の維持・向上,2-3-1 機能訓練（残存機能の維持・活用に向けて）,156,168,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=168
stroke-Ⅱ期-15,脳血管疾患,Ⅱ期,15,状態に合ったADL/IADLの機能の向上の確認と継続的な支援体制を整える,,2 セルフマネジメントへの移行,2-3 活動と参加に関わる能力の維持・向上,2-3-1 機能訓練（残存機能の維持・活用に向けて）,158,170,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=170
stroke-Ⅱ期-16,脳血管疾患,Ⅱ期,16,コミュニケーション能力の継続的な把握の確認と継続的な支援体制を整える,,2 セルフマネジメントへの移行,2-3 活動と参加に関わる能力の維持・向上,2-3-2 コミュニケーション能力の改善,159,171,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=171
stroke-Ⅱ期-17,脳血管疾患,Ⅱ期,17,コミュニケーション能力の改善支援（言語訓練、コミュニケーション手段の検討等）の確認と継続的な支援体制を整える,,2 セルフマネジメントへの移行,2-3 活動と参加に関わる能力の維持・向上,2-3-2 コミュニケーション能力の改善,160,172,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=172
stroke-Ⅱ期-18,脳血管疾患,Ⅱ期,18,日常生活（自宅内・自宅外）における役割の回復・獲得の支援の確認と継続的な支援体制を整える,,2 セルフマネジメントへの移行,2-3 活動と参加に関わる能力の維持・向上,2-3-3 社会参加の機会の維持・拡大,161,173,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=173
